time_step,revenue,cost,profit
55,20693764.86350414,8245465.77921773,12448299.084286362
56,21479572.954515163,7430131.0464103855,14049441.908104755
57,21115025.850946732,13264829.79100108,7850196.059945654
58,21101868.5815237,12750284.396266434,8351584.185257276
59,22887934.565733742,18737450.466278397,4150484.0994553464
60,24338052.278685,20211374.334723555,4126677.9439614406
61,24846479.315699544,10407439.720851334,14439039.594848184
62,24325205.523280684,8512297.131860482,15812908.391420156
63,23213337.281329602,8701292.569139795,14512044.712189771
64,24413313.569851372,8677127.908519829,15736185.661331525
65,26642015.080780014,17975176.99696418,8666838.083815798
66,28293762.12593887,24133630.565906372,4160131.5600325135
67,27603730.69739932,10329135.42952033,17274595.267878987
68,27641109.87187364,23046746.587053984,4594363.284819672
69,28499599.51439643,12199546.981460925,16300052.532935519
70,28754471.735083178,12053431.67627642,16701040.058806743
71,27968840.468500566,9865550.56304385,18103289.90545669
72,29427195.1596844,16025193.32720623,13402001.83247819
73,30250683.463795315,22273545.61017058,7977137.853624744
74,31176026.341119606,13909062.913518349,17266963.427601255
75,30962892.102247976,12353031.989035882,18609860.113212105
76,31116982.706749387,12102163.502861153,19014819.203888245
77,31392634.788647715,15541864.090697322,15850770.69795038
78,32012391.53534693,18180637.78747293,13831753.747873977
79,29518757.86753293,14269613.994322695,15249143.873210222
80,30031127.050584607,18864945.992076144,11166181.058508439
81,26894324.651591193,14322186.250402164,12572138.401189005
82,25094438.456644036,12263742.824342415,12830695.6323016
83,25381911.490311343,14327583.839661768,11054327.650649555
84,26741291.30923725,23663147.456290603,3078143.8529466633
85,26215077.95911114,14131342.09727714,12083735.861833984
86,27410031.17030527,12956081.915883906,14453949.254421346
87,27022080.003846545,10478787.224077879,16543292.779768633
88,25704342.960555933,11197478.769078631,14506864.191477267
89,27822777.13336069,17099374.197673462,10723402.93568721
90,29884914.431307636,32533196.774759464,-2648282.343451807
91,28302463.039185226,11897553.811922466,16404909.227262745
92,30220489.376578286,26427938.7088148,3792550.6677634916
93,29868831.92042534,13501348.437852928,16367483.48257238
94,30549303.677372992,23480838.892707277,7068464.784665727
95,31876415.058697652,24413946.65481209,7462468.403885588
96,32416945.47511252,15853738.867201313,16563206.60791119
97,31313688.702589486,22811694.351572126,8501994.351017356
98,31887175.502030075,16577180.039314367,15309995.462715682
99,30815073.40480256,17716216.879341684,13098856.525460828
100,30653113.183384776,15282896.067389145,15370217.115995599
101,31331470.36997743,17409070.045929935,13922400.32404745
102,32350870.4643604,20747998.53063103,11602871.933729356
103,31122714.773835696,12306113.805085374,18816600.968750276
104,31327491.277121086,15626230.002714835,15701261.274406247
105,31530618.829117417,15911885.890695464,15618732.93842195
106,32750436.47781441,21402488.5264052,11347947.951409196
107,32781853.74823382,16103634.101924336,16678219.646309469
108,32741558.600764032,13757174.097463531,18984384.50330047
109,33699403.30871017,25890244.014070846,7809159.294639352
110,32734572.36892008,14346171.083325187,18388401.28559489
111,32543513.90146584,12027924.9574715,20515588.943994347
112,31469727.873220265,12331324.60082124,19138403.272399027
113,33823660.115983054,27232390.48072995,6591269.635253098
114,35982782.472715855,27335872.343500163,8646910.129215712
115,32964849.5,11102679.565381143,21862169.934618838
116,34427015.5,15924546.344963273,18502469.155036774
117,36554277.457152486,16182914.924277624,20371362.53287485
118,36893624.009843275,17098725.92609732,19794898.08374596
119,39266333.848055705,26644659.520293944,12621674.327761754
120,40905662.30089724,29348672.104796305,11556990.196100937
121,40845221.32027544,12718701.90053854,28126519.419736918
122,39309348.162506595,14909681.527200552,24399666.63530609
123,37429774.91301693,14083526.11162477,23346248.801392194
124,36668732.20931686,19471001.584356286,17197730.624960564
125,38084299.4256663,16663373.622505149,21420925.803161178
126,40772710.210455775,24577908.06627218,16194802.144183591
127,39010380.0,18783653.91813524,20226726.08186474
128,39646896.64459884,11977024.663790707,27669871.98080817
129,39396667.85267782,23073213.22007342,16323454.6326044
130,40569425.00667811,24372454.5686494,16196970.438028686
131,41827661.92090562,17937220.232546248,23890441.68835937
132,43719881.73192759,37126770.68853782,6593111.043389806
133,43231874.02171521,16335740.102694752,26896133.91902053
134,42860305.24594348,13149775.601309704,29710529.64463385
135,41022049.31055105,12801357.233422693,28220692.077128384
136,41580913.686815485,12539338.00925467,29041575.67756089
137,43598260.39113538,21313961.824163027,22284298.56697232
138,49269717.77395266,46563224.124518506,2706493.649434214
139,47635337.73906422,44909902.61537575,2725435.123688447
140,50190617.12054138,30144437.63420905,20046179.486332312
141,50670582.41287909,13766271.469606197,36904310.94327287
142,48201492.05283984,16093719.20705444,32107772.84578541
143,48694867.815881535,20444614.23787977,28250253.578001685
144,51535706.234067455,18284042.9889218,33251663.245145656
145,51801022.27904417,25395175.462403193,26405846.816640954
146,53550225.863052495,26859793.035837762,26690432.827214688
147,51125372.29053846,14137336.930573866,36988035.35996451
148,51037447.16983411,20297662.522161197,30739784.647672884
149,55202763.816259444,33968401.04787749,21234362.768381983
150,56598057.35812058,28999511.03692296,27598546.3211976
151,56216521.16434916,14204610.864472363,42011910.29987676
152,60971830.916867085,39834232.1993215,21137598.717545606
153,64384032.82262719,31744044.711805258,32639988.110821966
154,64866360.18375473,15769012.2644629,49097347.91929182
155,64753012.81571761,15699632.264679555,49053380.551038034
156,66238431.20729471,16326526.58572922,49911904.62156561
157,66884011.811167985,16105646.700355824,50778365.11081215
158,67662975.35461578,15828754.001875054,51834221.35274073
159,65604550.57324402,16007692.051439935,49596858.52180407
160,64146830.245645866,15600541.476508955,48546288.76913696
161,66611271.04057092,16267276.183815593,50343994.85675535
162,68609046.79569569,16735304.53339499,51873742.26230079
163,66146453.36151168,16529470.482276516,49616982.87923517
164,67126538.9323084,16341046.20378514,50785492.72852334
165,66439727.35185951,15890495.856325055,50549231.495534465
166,65637085.5226168,15505394.832220865,50131690.690395914
167,64424980.131460086,15863400.992131663,48561579.139328495
168,65087571.80955877,16070101.362414079,49017470.447144695
