server_generation,latency_sensitivity,time_step,capacity,demand
CPU.S1,medium,27,260467.49561261604,258224
CPU.S1,high,27,182027.0,182027
CPU.S2,low,27,0.0,0
CPU.S2,medium,27,0.0,0
CPU.S2,high,27,0.0,0
CPU.S3,low,27,0.0,0
CPU.S3,medium,27,0.0,0
CPU.S3,high,27,0.0,0
CPU.S4,low,27,0.0,0
CPU.S4,medium,27,0.0,0
CPU.S4,high,27,0.0,0
GPU.S1,low,27,717.0,717
GPU.S1,medium,27,347.0,347
GPU.S1,high,27,1315.1796188413302,1670
GPU.S2,low,27,0.0,0
GPU.S2,medium,27,0.0,0
GPU.S2,high,27,0.0,0
GPU.S3,low,27,0.0,0
GPU.S3,medium,27,0.0,0
GPU.S3,high,27,0.0,0
CPU.S1,low,28,19385.71888372749,384648
CPU.S1,medium,28,266804.0,266804
CPU.S1,high,28,174444.76494317845,169675
CPU.S2,low,28,0.0,0
CPU.S2,medium,28,0.0,0
CPU.S2,high,28,0.0,0
CPU.S3,low,28,0.0,0
CPU.S3,medium,28,0.0,0
CPU.S3,high,28,0.0,0
CPU.S4,low,28,0.0,0
CPU.S4,medium,28,0.0,0
CPU.S4,high,28,0.0,0
GPU.S1,low,28,871.1703294103104,842
GPU.S1,medium,28,338.9445440085515,337
GPU.S1,high,28,1196.0,1196
GPU.S2,low,28,0.0,0
GPU.S2,medium,28,0.0,0
GPU.S2,high,28,0.0,0
GPU.S3,low,28,0.0,0
GPU.S3,medium,28,0.0,0
GPU.S3,high,28,0.0,0
CPU.S1,low,29,20040.0273090863,413307
CPU.S1,medium,29,275626.86677279806,296540
CPU.S1,high,29,180631.0,180631
CPU.S2,low,29,0.0,0
CPU.S2,medium,29,0.0,0
CPU.S2,high,29,0.0,0
CPU.S3,low,29,0.0,0
CPU.S3,medium,29,0.0,0
CPU.S3,high,29,0.0,0
CPU.S4,low,29,0.0,0
CPU.S4,medium,29,0.0,0
CPU.S4,high,29,0.0,0
GPU.S1,low,29,927.1088468327512,797
GPU.S1,medium,29,382.00871586773087,341
GPU.S1,high,29,1066.0,1066
GPU.S2,low,29,0.0,0
GPU.S2,medium,29,0.0,0
GPU.S2,high,29,0.0,0
GPU.S3,low,29,0.0,0
GPU.S3,medium,29,0.0,0
GPU.S3,high,29,0.0,0
CPU.S1,low,30,19905.339844947415,506632
CPU.S1,medium,30,271265.3353578754,347259
CPU.S1,high,30,257760.0,257760
CPU.S2,low,30,0.0,0
CPU.S2,medium,30,0.0,0
CPU.S2,high,30,0.0,0
CPU.S3,low,30,0.0,0
CPU.S3,medium,30,0.0,0
CPU.S3,high,30,0.0,0
CPU.S4,low,30,0.0,0
CPU.S4,medium,30,0.0,0
CPU.S4,high,30,0.0,0
GPU.S1,low,30,896.9571992929503,849
GPU.S1,medium,30,373.0,373
GPU.S1,high,30,1053.3483368180625,828
GPU.S2,low,30,0.0,0
GPU.S2,medium,30,0.0,0
GPU.S2,high,30,0.0,0
GPU.S3,low,30,0.0,0
GPU.S3,medium,30,0.0,0
GPU.S3,high,30,0.0,0
CPU.S1,low,31,19988.248303873675,423413
CPU.S1,medium,31,276152.1245953355,278757
CPU.S1,high,31,251739.92205920364,268908
CPU.S2,low,31,0.0,0
CPU.S2,medium,31,0.0,0
CPU.S2,high,31,0.0,0
CPU.S3,low,31,0.0,0
CPU.S3,medium,31,0.0,0
CPU.S3,high,31,0.0,0
CPU.S4,low,31,0.0,0
CPU.S4,medium,31,0.0,0
CPU.S4,high,31,0.0,0
GPU.S1,low,31,879.0,879
GPU.S1,medium,31,376.3872811811889,385
GPU.S1,high,31,1239.6104052081153,1345
GPU.S2,low,31,0.0,0
GPU.S2,medium,31,0.0,0
GPU.S2,high,31,0.0,0
GPU.S3,low,31,0.0,0
GPU.S3,medium,31,0.0,0
GPU.S3,high,31,0.0,0
CPU.S1,low,32,19868.303172901655,410030
CPU.S1,medium,32,271365.6852966021,300878
CPU.S1,high,32,261106.8234278909,232536
CPU.S2,low,32,0.0,0
CPU.S2,medium,32,0.0,0
CPU.S2,high,32,0.0,0
CPU.S3,low,32,0.0,0
CPU.S3,medium,32,0.0,0
CPU.S3,high,32,0.0,0
CPU.S4,low,32,0.0,0
CPU.S4,medium,32,0.0,0
CPU.S4,high,32,0.0,0
GPU.S1,low,32,948.0,948
GPU.S1,medium,32,357.0,357
GPU.S1,high,32,1223.0,1223
GPU.S2,low,32,0.0,0
GPU.S2,medium,32,0.0,0
GPU.S2,high,32,0.0,0
GPU.S3,low,32,0.0,0
GPU.S3,medium,32,0.0,0
GPU.S3,high,32,0.0,0
CPU.S1,low,33,0.0,457114
CPU.S1,medium,33,276457.0371828359,359463
CPU.S1,high,33,271778.0,271778
CPU.S2,low,33,0.0,0
CPU.S2,medium,33,0.0,0
CPU.S2,high,33,0.0,0
CPU.S3,low,33,0.0,0
CPU.S3,medium,33,0.0,0
CPU.S3,high,33,0.0,0
CPU.S4,low,33,0.0,0
CPU.S4,medium,33,0.0,0
CPU.S4,high,33,0.0,0
GPU.S1,low,33,1054.5700963566162,979
GPU.S1,medium,33,367.596716406481,360
GPU.S1,high,33,1069.0,1069
GPU.S2,low,33,0.0,0
GPU.S2,medium,33,0.0,0
GPU.S2,high,33,0.0,0
GPU.S3,low,33,0.0,0
GPU.S3,medium,33,0.0,0
GPU.S3,high,33,0.0,0
CPU.S1,low,34,0.0,464944
CPU.S1,medium,34,179440.12616811393,402890
CPU.S1,high,34,359921.0,359921
CPU.S2,low,34,0.0,0
CPU.S2,medium,34,0.0,0
CPU.S2,high,34,0.0,0
CPU.S3,low,34,0.0,0
CPU.S3,medium,34,0.0,0
CPU.S3,high,34,0.0,0
CPU.S4,low,34,0.0,0
CPU.S4,medium,34,0.0,0
CPU.S4,high,34,0.0,0
GPU.S1,low,34,1034.5058840378822,839
GPU.S1,medium,34,371.10446710693407,341
GPU.S1,high,34,1059.261553649222,1023
GPU.S2,low,34,0.0,0
GPU.S2,medium,34,0.0,0
GPU.S2,high,34,0.0,0
GPU.S3,low,34,0.0,0
GPU.S3,medium,34,0.0,0
GPU.S3,high,34,0.0,0
CPU.S1,low,35,0.0,541005
CPU.S1,medium,35,165116.74477196016,486698
CPU.S1,high,35,387971.3906244046,405917
CPU.S2,low,35,0.0,0
CPU.S2,medium,35,0.0,0
CPU.S2,high,35,0.0,0
CPU.S3,low,35,0.0,0
CPU.S3,medium,35,0.0,0
CPU.S3,high,35,0.0,0
CPU.S4,low,35,0.0,0
CPU.S4,medium,35,0.0,0
CPU.S4,high,35,0.0,0
GPU.S1,low,35,1070.2146776573152,741
GPU.S1,medium,35,384.2713361227925,299
GPU.S1,high,35,1078.0,1078
GPU.S2,low,35,0.0,0
GPU.S2,medium,35,0.0,0
GPU.S2,high,35,0.0,0
GPU.S3,low,35,0.0,0
GPU.S3,medium,35,0.0,0
GPU.S3,high,35,0.0,0
CPU.S1,low,36,0.0,537850
CPU.S1,medium,36,165970.22785554887,541308
CPU.S1,high,36,380160.74038606184,558446
CPU.S2,low,36,0.0,0
CPU.S2,medium,36,0.0,0
CPU.S2,high,36,0.0,0
CPU.S3,low,36,0.0,0
CPU.S3,medium,36,0.0,0
CPU.S3,high,36,0.0,0
CPU.S4,low,36,0.0,0
CPU.S4,medium,36,0.0,0
CPU.S4,high,36,0.0,0
GPU.S1,low,36,1040.6595493288878,635
GPU.S1,medium,36,382.0,382
GPU.S1,high,36,1046.385689709154,810
GPU.S2,low,36,0.0,0
GPU.S2,medium,36,0.0,0
GPU.S2,high,36,0.0,0
GPU.S3,low,36,0.0,0
GPU.S3,medium,36,0.0,0
GPU.S3,high,36,0.0,0
CPU.S1,low,37,0.0,534839
CPU.S1,medium,37,166901.49194482874,498194
CPU.S1,high,37,386918.5879758046,523540
CPU.S2,low,37,18115.0,18115
CPU.S2,medium,37,19414.0,19414
CPU.S2,high,37,10317.0,10317
CPU.S3,low,37,0.0,0
CPU.S3,medium,37,0.0,0
CPU.S3,high,37,0.0,0
CPU.S4,low,37,0.0,0
CPU.S4,medium,37,0.0,0
CPU.S4,high,37,0.0,0
GPU.S1,low,37,712.0,712
GPU.S1,medium,37,399.0,399
GPU.S1,high,37,1451.0,1451
